16-06-2025 18:20:42 | TRACE | Task: 001_InicializarVariables | Desc: Se inicializan las rutas del robot.
16-06-2025 18:20:42 | TRACE | Task: 001_InicializarVariables | Desc: Se leen los datos parametrizados en el archivo: C:/Users/lucas/Desktop/VORTEX/PROYECTOS/POC_GRV/Process/config/Config.xlsx y se inicializan las variables del proceso.
16-06-2025 18:20:42 | INFO | Task: 001_InicializarVariables | Desc: Resolución inicial: (1920, 1080)
16-06-2025 18:20:42 | TRACE | Task: 001_InicializarVariables | Desc: Se deja lista la plantilla del reporte.
16-06-2025 18:20:42 | INFO | Task: 004_CrearInsumoDesdeTemplate | Desc: Comienza la creación de insumo con template.
16-06-2025 18:20:42 | TRACE | Task: 004_CrearInsumoDesdeTemplate | Desc: Ruta de insumo a copiar: C:/Users/lucas/Desktop/VORTEX/PROYECTOS/POC_GRV/Input/Insumo_160625182042.xlsx
16-06-2025 18:20:42 | TRACE | Task: 004_CrearInsumoDesdeTemplate | Desc: Se completa la creación del insumo en la ruta: C:/Users/lucas/Desktop/VORTEX/PROYECTOS/POC_GRV/Input/Insumo_160625182042.xlsx.
16-06-2025 18:20:42 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: Comienza la obtención de información de los documentos.
16-06-2025 18:20:42 | TRACE | Task: 003_ObtenerInformacionDocumentos | Desc: Lista de carpetas: ['139', '147', '831']
16-06-2025 18:20:42 | TRACE | Task: 003_ObtenerInformacionDocumentos | Desc: Lista de archivos: ['Doc resp AGUIRRE.pdf', 'Doc resp ARIAS.pdf', 'Doc resp BIANCHI 2.pdf', 'Doc resp BIANCHI.pdf', 'Doc resp CABRAL.pdf', 'Doc resp CASTRO AGUSTINA.pdf', 'Doc resp CASTRO CARLOS 2.pdf', 'Doc resp CASTRO CARLOS.pdf', 'Doc resp CORNEJO.pdf', 'Doc resp DE LA ROSA.pdf', 'Doc resp DI SILVESTRE.pdf', 'Doc resp DIAZ TABORDA.pdf', 'Doc resp FERNANDEZ GALDAME.pdf', 'Doc resp GIURA.pdf', 'Doc resp MANZANELI.pdf', 'Doc Respaldo ARIAS 2.pdf', 'Factura.pdf', 'Nota_Debito.pdf']
16-06-2025 18:21:03 | TRACE | Task: 003_ObtenerInformacionDocumentos | Desc: Se sube archivo: C:/Users/lucas/Desktop/VORTEX/PROYECTOS/POC_GRV/Input/139/Doc resp AGUIRRE.pdf
16-06-2025 18:21:03 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: Lista de files: []
16-06-2025 18:21:03 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: File para appendear: {'id': 'file-4jGuGdLF7eF978FX64NoDU', 'extension': '.pdf'}
16-06-2025 18:21:03 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: File a devolver: [{'id': 'file-4jGuGdLF7eF978FX64NoDU', 'extension': '.pdf'}]
16-06-2025 18:21:04 | TRACE | Task: 003_ObtenerInformacionDocumentos | Desc: Se sube archivo: C:/Users/lucas/Desktop/VORTEX/PROYECTOS/POC_GRV/Input/139/Doc resp ARIAS.pdf
16-06-2025 18:21:04 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: Lista de files: [{'id': 'file-4jGuGdLF7eF978FX64NoDU', 'extension': '.pdf'}]
16-06-2025 18:21:04 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: File para appendear: {'id': 'file-932diDnEooGAfA6Jr4tgnG', 'extension': '.pdf'}
16-06-2025 18:21:04 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: File a devolver: [{'id': 'file-4jGuGdLF7eF978FX64NoDU', 'extension': '.pdf'}, {'id': 'file-932diDnEooGAfA6Jr4tgnG', 'extension': '.pdf'}]
16-06-2025 18:21:06 | TRACE | Task: 003_ObtenerInformacionDocumentos | Desc: Se sube archivo: C:/Users/lucas/Desktop/VORTEX/PROYECTOS/POC_GRV/Input/139/Doc resp BIANCHI 2.pdf
16-06-2025 18:21:06 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: Lista de files: [{'id': 'file-4jGuGdLF7eF978FX64NoDU', 'extension': '.pdf'}, {'id': 'file-932diDnEooGAfA6Jr4tgnG', 'extension': '.pdf'}]
16-06-2025 18:21:06 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: File para appendear: {'id': 'file-4eKCLgj7mabafu7KnRTQwQ', 'extension': '.pdf'}
16-06-2025 18:21:06 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: File a devolver: [{'id': 'file-4jGuGdLF7eF978FX64NoDU', 'extension': '.pdf'}, {'id': 'file-932diDnEooGAfA6Jr4tgnG', 'extension': '.pdf'}, {'id': 'file-4eKCLgj7mabafu7KnRTQwQ', 'extension': '.pdf'}]
16-06-2025 18:21:07 | TRACE | Task: 003_ObtenerInformacionDocumentos | Desc: Se sube archivo: C:/Users/lucas/Desktop/VORTEX/PROYECTOS/POC_GRV/Input/139/Doc resp BIANCHI.pdf
16-06-2025 18:21:07 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: Lista de files: [{'id': 'file-4jGuGdLF7eF978FX64NoDU', 'extension': '.pdf'}, {'id': 'file-932diDnEooGAfA6Jr4tgnG', 'extension': '.pdf'}, {'id': 'file-4eKCLgj7mabafu7KnRTQwQ', 'extension': '.pdf'}]
16-06-2025 18:21:07 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: File para appendear: {'id': 'file-D3QohdsVoKfGe5Y4XxAFND', 'extension': '.pdf'}
16-06-2025 18:21:07 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: File a devolver: [{'id': 'file-4jGuGdLF7eF978FX64NoDU', 'extension': '.pdf'}, {'id': 'file-932diDnEooGAfA6Jr4tgnG', 'extension': '.pdf'}, {'id': 'file-4eKCLgj7mabafu7KnRTQwQ', 'extension': '.pdf'}, {'id': 'file-D3QohdsVoKfGe5Y4XxAFND', 'extension': '.pdf'}]
16-06-2025 18:21:09 | TRACE | Task: 003_ObtenerInformacionDocumentos | Desc: Se sube archivo: C:/Users/lucas/Desktop/VORTEX/PROYECTOS/POC_GRV/Input/139/Doc resp CABRAL.pdf
16-06-2025 18:21:09 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: Lista de files: [{'id': 'file-4jGuGdLF7eF978FX64NoDU', 'extension': '.pdf'}, {'id': 'file-932diDnEooGAfA6Jr4tgnG', 'extension': '.pdf'}, {'id': 'file-4eKCLgj7mabafu7KnRTQwQ', 'extension': '.pdf'}, {'id': 'file-D3QohdsVoKfGe5Y4XxAFND', 'extension': '.pdf'}]
16-06-2025 18:21:09 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: File para appendear: {'id': 'file-E4rJzudx2efBs3J2aLVLmV', 'extension': '.pdf'}
16-06-2025 18:21:09 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: File a devolver: [{'id': 'file-4jGuGdLF7eF978FX64NoDU', 'extension': '.pdf'}, {'id': 'file-932diDnEooGAfA6Jr4tgnG', 'extension': '.pdf'}, {'id': 'file-4eKCLgj7mabafu7KnRTQwQ', 'extension': '.pdf'}, {'id': 'file-D3QohdsVoKfGe5Y4XxAFND', 'extension': '.pdf'}, {'id': 'file-E4rJzudx2efBs3J2aLVLmV', 'extension': '.pdf'}]
16-06-2025 18:21:10 | TRACE | Task: 003_ObtenerInformacionDocumentos | Desc: Se sube archivo: C:/Users/lucas/Desktop/VORTEX/PROYECTOS/POC_GRV/Input/139/Doc resp CASTRO AGUSTINA.pdf
16-06-2025 18:21:10 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: Lista de files: [{'id': 'file-4jGuGdLF7eF978FX64NoDU', 'extension': '.pdf'}, {'id': 'file-932diDnEooGAfA6Jr4tgnG', 'extension': '.pdf'}, {'id': 'file-4eKCLgj7mabafu7KnRTQwQ', 'extension': '.pdf'}, {'id': 'file-D3QohdsVoKfGe5Y4XxAFND', 'extension': '.pdf'}, {'id': 'file-E4rJzudx2efBs3J2aLVLmV', 'extension': '.pdf'}]
16-06-2025 18:21:10 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: File para appendear: {'id': 'file-PPBFhnQKq2Vw4FR1UjEvEb', 'extension': '.pdf'}
16-06-2025 18:21:10 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: File a devolver: [{'id': 'file-4jGuGdLF7eF978FX64NoDU', 'extension': '.pdf'}, {'id': 'file-932diDnEooGAfA6Jr4tgnG', 'extension': '.pdf'}, {'id': 'file-4eKCLgj7mabafu7KnRTQwQ', 'extension': '.pdf'}, {'id': 'file-D3QohdsVoKfGe5Y4XxAFND', 'extension': '.pdf'}, {'id': 'file-E4rJzudx2efBs3J2aLVLmV', 'extension': '.pdf'}, {'id': 'file-PPBFhnQKq2Vw4FR1UjEvEb', 'extension': '.pdf'}]
16-06-2025 18:21:11 | TRACE | Task: 003_ObtenerInformacionDocumentos | Desc: Se sube archivo: C:/Users/lucas/Desktop/VORTEX/PROYECTOS/POC_GRV/Input/139/Doc resp CASTRO CARLOS 2.pdf
